
Variable,Value
p_4_4_13,30
p_4_4_14,29
p_4_4_15,14
p_4_5_16,22
p_4_5_17,15
p_4_5_18,26
p_4_5_19,22
p_5_1_0,10
p_5_1_1,15
p_5_1_2,28
p_5_1_3,17
p_5_2_8,27
p_5_2_9,28
p_5_2_10,13
p_5_2_11,25
p_5_3_4,30
p_5_3_5,10
p_5_3_6,22
p_5_3_7,23
p_5_3_8,29
p_5_3_9,28
p_5_3_10,13
p_5_3_11,22
p_5_3_12,12
p_5_3_13,10
p_5_3_14,11
p_5_3_15,22
p_5_4_8,19
p_5_4_9,11
p_5_4_10,14
p_5_4_11,10
p_5_5_16,16
p_5_5_17,20
p_5_5_18,21
p_5_5_19,10
p_6_1_0,19
p_6_1_1,20
p_6_1_2,19
p_6_1_3,28
p_6_2_4,25
p_6_2_5,12
p_6_2_6,10
p_6_2_7,11
p_6_2_12,28
p_6_2_13,25
p_6_2_14,25
p_6_2_15,10
p_6_3_4,13
p_6_3_5,10
p_6_3_6,29
p_6_3_7,22
p_6_3_8,24
p_6_3_9,14
p_6_3_10,24
p_6_3_11,29
p_6_3_12,12
p_6_3_13,19
p_6_3_14,21
p_6_3_15,28
p_6_4_4,13
p_6_4_5,20
p_6_4_6,10
p_6_4_7,14
p_6_4_12,16
p_6_4_13,28
p_6_4_14,10
p_6_4_15,23
p_6_5_16,18
p_6_5_17,30
p_6_5_18,15
p_6_5_19,13
p_7_1_0,25
p_7_1_1,16
p_7_1_2,17
p_7_1_3,24
p_7_2_12,10
p_7_2_13,26
p_7_2_14,23
p_7_2_15,22
p_7_3_8,16
p_7_3_9,14
p_7_3_10,23
p_7_3_11,25
p_7_3_12,14
p_7_3_13,18
p_7_3_14,14
p_7_3_15,20
p_7_4_4,25
p_7_4_5,30
p_7_4_6,21
p_7_4_7,30
p_7_4_8,19
p_7_4_9,28
p_7_4_10,26
p_7_4_11,21
p_7_4_12,26
p_7_4_13,28
p_7_4_14,30
p_7_4_15,23
p_7_5_16,11
p_7_5_17,29
p_7_5_18,23
p_7_5_19,15
p_8_1_0,21
p_8_1_1,18
p_8_1_2,19
p_8_1_3,18
p_8_2_12,19
p_8_2_13,14
p_8_2_14,16
p_8_2_15,16
p_8_3_12,29
p_8_3_13,13
p_8_3_14,11
p_8_3_15,16
p_8_4_4,14
p_8_4_5,27
p_8_4_6,25
p_8_4_7,29
p_8_4_8,12
p_8_4_9,26
p_8_4_10,14
p_8_4_11,28
p_8_4_12,19
p_8_4_13,22
p_8_4_14,20
p_8_4_15,16
p_8_5_16,26
p_8_5_17,30
p_8_5_18,26
p_8_5_19,19
p_9_1_0,13
p_9_1_1,28
p_9_1_2,19
p_9_1_3,12
p_9_2_4,26
p_9_2_5,24
p_9_2_6,13
p_9_2_7,21
p_9_2_8,11
p_9_2_9,20
p_9_2_10,17
p_9_2_11,19
p_9_2_12,16
p_9_2_13,12
p_9_2_14,18
p_9_2_15,22
p_9_3_8,16
p_9_3_9,28
p_9_3_10,19
p_9_3_11,18
p_9_4_4,30
p_9_4_5,23
p_9_4_6,18
p_9_4_7,11
p_9_4_8,30
p_9_4_9,28
p_9_4_10,17
p_9_4_11,29
p_9_5_16,13
p_9_5_17,21
p_9_5_18,20
p_9_5_19,28
p_10_1_0,19
p_10_1_1,26
p_10_1_2,23
p_10_1_3,28
p_10_2_4,11
p_10_2_5,11
p_10_2_6,13
p_10_2_7,29
p_10_2_8,24
p_10_2_9,15
p_10_2_10,27
p_10_2_11,25
p_10_2_12,13
p_10_2_13,13
p_10_2_14,16
p_10_2_15,24
p_10_3_12,10
p_10_3_13,11
p_10_3_14,14
p_10_3_15,27
p_10_4_4,28
p_10_4_5,10
p_10_4_6,23
p_10_4_7,23
p_10_4_8,18
p_10_4_9,14
p_10_4_10,16
p_10_4_11,22
p_10_4_12,14
p_10_4_13,14
p_10_4_14,18
p_10_4_15,10
p_10_5_16,27
p_10_5_17,18
p_10_5_18,11
p_10_5_19,19
Anzahl Jobs:,10
Anzahl Maschinen:,20
